Sample,Leaf,Stress,R_mean,G_mean,B_mean,VARI,
1A,1,Stressed,95.074,104.502,45.643,0.061247426,
1A,2,Stressed,109.935,119.025,48.699,0.050426881,
1A,3,Stressed,118.154,127.357,56.235,0.048622118,
1A,4,Stressed,89.85,98.52,37.683,0.057536483,
1A,5,Stressed,102.423,108.831,56.987,0.041538372,
1A,6,Stressed,116.294,127.145,42.849,0.054095419,
1A,7,Stressed,96.513,106.881,36.234,0.062024408,
1A,8,Stressed,88.827,98.174,41.912,0.064422527,
1A,9,Stressed,104.198,105.805,51.428,0.010134006,
1A,10,Stressed,91.05,91.264,48.961,0.001604763,
1A,11,Stressed,133.044,132.971,66.395,0.000366,
1A,12,Stressed,111.59,115.507,46.29,0.021663984,
1A,13,Stressed,81.999,87.565,29.899,0.039852504,
1A,14,Stressed,114.967,115.134,56.071,0.000959605,
1A,15,Stressed,124.397,121.963,71.634,0.01393,
1A,16,Stressed,104.267,111.931,36.235,0.042586532,
1A,17,Stressed,82.035,84.424,33.354,0.017948236,
1A,18,Stressed,88.993,93.078,35.835,0.027934298,
1A,19,Stressed,83.863,87.109,34.082,0.02371247,
1A,20,Stressed,115.97,114.187,55.928,0.010234,
1A,21,Stressed,107.431,115.618,41.829,0.045177133,
1A,22,Stressed,85.659,98.515,31.861,0.084405139,
1A,23,Stressed,98.991,100.277,45.408,0.008358248,
1A,24,Stressed,183.954,181.533,145.666,0.011014,
1A,25,Stressed,96.868,108.462,41.879,0.070932573,
1A,26,Stressed,134.906,144.181,58.649,0.042075323,
1A,27,Stressed,129.597,119.649,63.948,0.053686,
1A,28,Stressed,119.709,130.883,54.175,0.056889169,
1A,29,Stressed,124.159,136.012,52.853,0.057173039,
1A,30,Stressed,106.066,116.096,50.065,0.058281086,
1A,31,Stressed,98.762,111.616,52.305,0.08131686,
2A,1,Healthy,92.176,105.032,49.582,0.087084931,
2A,2,Healthy,102.712,113.505,48.524,0.064361661,
2A,3,Healthy,73.529,87.317,25.312,0.101730931,
2A,4,Healthy,68.535,83.317,23.346,0.115029648,
2A,5,Healthy,90.251,106.934,51.781,0.114735496,
2A,6,Healthy,79.894,94.648,29.975,0.102056486,
2A,7,Healthy,67.052,81.249,21.256,0.111747806,
2A,8,Healthy,66.446,76.435,20.842,0.081850884,
2A,9,Healthy,104.558,117.745,63.888,0.08324338,
2A,10,Healthy,76.896,91.721,30.406,0.107263532,
2A,11,Healthy,83.686,97.907,37.868,0.098945904,
2A,12,Healthy,83.875,99.131,50.65,0.115264892,
2A,13,Healthy,69.539,82.163,16.962,0.093691554,
2A,14,Healthy,64.018,75.459,13.081,0.090517105,
2A,15,Healthy,63.044,76.644,42.717,0.140248115,
2A,16,Healthy,86.249,106.098,44.262,0.134037884,
2A,17,Healthy,83.622,99.412,43.912,0.113497506,
2A,18,Healthy,89.837,108.24,61.486,0.134730692,
2A,19,Healthy,80.033,98.884,51.788,0.148282453,
2A,20,Healthy,92.624,108.818,44.998,0.103513078,
2A,21,Healthy,115.313,132.973,73.524,0.101051716,
2A,22,Healthy,114.947,136.113,58.101,0.109691696,
2A,23,Healthy,77.548,97.761,31.645,0.140696347,
2A,24,Healthy,92.858,111.234,68.308,0.135332587,
2A,25,Healthy,69.922,89.172,21.404,0.139806812,
2A,26,Healthy,60.316,75.588,28.927,0.142759659,
2A,27,Healthy,102.857,121.881,44.601,0.105608509,
2A,28,Healthy,85.543,105.045,36.629,0.126670087,
2A,29,Healthy,96.024,109.169,22.261,0.071857302,
2A,30,Healthy,99.705,117.366,50.775,0.106202194,
2A,31,Healthy,124.359,141.481,69.312,0.087122446,
2A,32,Healthy,89.307,106.629,52.594,0.120843856,
2A,33,Healthy,114.515,131.869,54.649,0.09051034,
2A,34,Healthy,82.859,94.592,18.562,0.073844004,
2A,35,Healthy,49.098,63.769,8.05,0.139967753,
2A,36,Healthy,95.474,111.674,45.536,0.100240081,
2A,37,Healthy,83.1,95.171,12.086,0.072635918,
2A,38,Healthy,121.699,134.045,55.969,0.061799524,
2A,39,Healthy,72.865,89.04,32.048,0.124560093,
1B,1,Stressed,67.513,80.779,19.878,0.103306493,
1B,2,Stressed,84.604,98.053,33.954,0.090442022,
1B,3,Stressed,72.898,87.894,23.114,0.108920815,
1B,4,Stressed,73.387,79.609,39.129,0.054642697,
1B,5,Stressed,82.25,98.906,28.53,0.109129506,
1B,6,Stressed,79.772,87.845,28.025,0.057832827,
1B,7,Stressed,77.286,87.924,25.31,0.076040029,
1B,8,Stressed,70.338,72.638,26.907,0.019815799,
1B,9,Stressed,81.672,98.323,19.155,0.103525242,
1B,10,Stressed,70.355,83.516,28.115,0.104655046,
1B,11,Stressed,68.459,78.598,29.285,0.086090072,
2B,1,Healthy,123.332,137.553,63.489,0.072043,
2B,2,Healthy,98.734,115.561,44.288,0.098978277,
2B,3,Healthy,117.477,134.699,59.589,0.08942452,
2B,4,Healthy,104.802,124.406,38.167,0.102616716,
2B,5,Healthy,77.452,92.164,37.097,0.111018043,
2B,6,Healthy,96.574,121.475,35.283,0.136245253,
2B,7,Healthy,99.581,118.769,39.834,0.107486164,
2B,8,Healthy,112.262,135.014,43.945,0.111896366,
2B,9,Healthy,96.759,121.524,36.221,0.13602509,
2B,10,Healthy,94.207,118.161,41.208,0.139950923,
2B,11,Healthy,68.774,85.623,23.553,0.128771667,
2B,12,Healthy,84.816,107.98,43.134,0.154775427,
2B,13,Healthy,90.391,106.268,49.994,0.108253503,
2B,14,Healthy,119.529,141.905,70.216,0.117018272,
2B,15,Healthy,127.692,143.195,82.891,0.082464521,
2B,16,Healthy,98.973,121.729,37.05,0.123908261,
2B,17,Healthy,84.767,109.653,23.155,0.14530698,
2B,18,Healthy,111.684,130.664,47.05,0.097184815,
2B,19,Healthy,93.366,114.418,41.178,0.126357994,
2B,20,Healthy,90.686,112.104,34.822,0.127512383,
1C,1,Stressed,96.005,106.603,51.351,0.070066179,
1C,2,Stressed,79.961,92.427,33.302,0.089628,
1C,3,Stressed,64.526,78.345,34.323,0.127307735,
1C,4,Stressed,86.634,95.25,40.923,0.061123289,
1C,5,Stressed,71.574,80.023,33.729,0.071681881,
1C,6,Stressed,67.205,82.638,25.962,0.124579233,
1C,7,Stressed,85.831,97.199,34.249,0.076407606,
1C,8,Stressed,61.615,73.8,23.278,0.108661726,
1C,9,Stressed,66.617,80.862,24.655,0.115978962,
1C,10,Stressed,64.01,86.357,21.42,0.17330376,
1C,11,Stressed,71.926,86.582,27.045,0.11148384,
1C,12,Stressed,62.317,76.689,21.444,0.122250387,
1C,13,Stressed,70.881,83.902,30.273,0.104577946,
1C,14,Stressed,90.84,98.571,65.551,0.062417245,
1C,15,Stressed,67.18,76.564,47.01,0.097008291,
2C,1,Healthy,63.812,79.985,57.292,0.186960291,
2C,2,Healthy,65.239,80.307,65.224,0.18759493,
2C,3,Healthy,76.05,90.763,80.096,0.169666847,
2C,4,Healthy,72.379,85.283,63.449,0.136966236,
2C,5,Healthy,73.562,84.762,51.243,0.104593719,
2C,6,Healthy,83.704,91.445,70.064,0.073664177,
2C,7,Healthy,72.03,82.939,57.263,0.11165128,
2C,8,Healthy,87.73,96.212,55.457,0.066015488,
2C,9,Healthy,59.154,71.182,38.916,0.131568585,
2C,10,Healthy,79.728,87.501,51.081,0.066923236,
2C,11,Healthy,59.294,74.478,22.195,0.136085394,
2C,12,Healthy,54.538,71.729,27.795,0.174577545,
2C,13,Healthy,57.763,75.36,27.903,0.167240068,
2C,14,Healthy,51.941,69.057,20.601,0.170483182,
2C,15,Healthy,46.274,60.193,38.67,0.20530407,
2C,16,Healthy,53.833,68.83,24.915,0.153425134,
2C,17,Healthy,60.319,72.846,27.508,0.118562897,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,